Transaction Date,Description,Category,Type,Amount
2025-07-10,DROPBOX*6QG1QQKK2C2G,Bills & Utilities,Sale,-238.00
2025-07-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-07-07,CALIFORNIA WINE,Entertainment,Sale,-229.50
2025-07-07,SF CHRONICLE,Bills & Utilities,Sale,-13.96
2025-07-05,MARINA,Personal,Sale,-36.00
2025-07-04,AUTOMATIC PAYMENT - THANK,,Payment,2616.68
2025-07-03,PUBLIC STORAGE 08482,Home,Sale,-553.00
2025-07-03,PUBLIC STORAGE 08482,Home,Sale,-1051.00
2025-07-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-06-30,BLUE SHIELD,Bills & Utilities,Sale,-345.00
2025-07-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2025-06-30,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00
2025-06-28,MARINA,Personal,Sale,-36.00
2025-06-28,NYTIMES*,Bills & Utilities,Sale,-33.00
2025-06-28,GOOGLE *Google One,Shopping,Sale,-19.99
2025-06-26,NETFLIX.COM,Bills & Utilities,Sale,-7.99
2025-06-24,Spotify USA,Bills & Utilities,Sale,-19.99
2025-06-22,GITHUB INC.,Professional Services,Sale,-14.00
2025-06-21,MARINA,Personal,Sale,-36.00
2025-06-22,GITHUB,Professional Services,Sale,-5.00
2025-06-20,FLICKR PRO,Personal,Sale,-10.44
2025-06-17,GOOGLE *FI,Bills & Utilities,Sale,-156.81
2025-06-16,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-06-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-06-14,MARINA,Personal,Sale,-36.00
2025-06-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-06-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
2025-06-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-06-10,GOOGLE *iZYREC,Shopping,Sale,-239.99
2025-06-08,MARINA,Personal,Sale,-32.00
2025-06-09,SF CHRONICLE,Bills & Utilities,Sale,-13.96
2025-06-04,AUTOMATIC PAYMENT - THANK,,Payment,2632.33
2025-06-03,PUBLIC STORAGE 08482,Home,Sale,-553.00
2025-06-03,PUBLIC STORAGE 08482,Home,Sale,-1051.00
2025-06-01,MARINA,Personal,Sale,-44.00
2025-06-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2025-06-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-05-31,BLUE SHIELD,Bills & Utilities,Sale,-293.00
2025-05-31,NYTIMES*,Bills & Utilities,Sale,-33.00
2025-05-31,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00
2025-05-26,MARINA,Personal,Sale,-60.00
2025-05-26,NETFLIX.COM,Bills & Utilities,Sale,-7.99
2025-05-24,Spotify USA,Bills & Utilities,Sale,-19.99
2025-05-22,GITHUB,Professional Services,Sale,-5.00
2025-05-22,GITHUB INC.,Professional Services,Sale,-14.00
2025-05-20,FLICKR PRO,Personal,Sale,-10.44
2025-05-17,MARINA,Personal,Sale,-44.00
2025-05-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-05-16,GOOGLE *Snapwood Apps,Shopping,Sale,-3.99
2025-05-18,GOOGLE *FI,Bills & Utilities,Sale,-156.81
2025-05-15,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-05-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-05-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
2025-05-12,SF CHRONICLE,Bills & Utilities,Sale,-13.96
2025-05-10,MARINA,Personal,Sale,-36.00
2025-05-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-05-03,MARINA,Personal,Sale,-32.00
2025-05-04,AUTOMATIC PAYMENT - THANK,,Payment,3422.94
2025-05-03,NYTIMES*,Bills & Utilities,Sale,-28.00
2025-05-03,PUBLIC STORAGE 08482,Home,Sale,-1051.00
2025-05-03,PUBLIC STORAGE 08482,Home,Sale,-553.00
2025-05-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-05-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2025-04-30,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00
2025-04-30,BLUE SHIELD,Bills & Utilities,Sale,-293.00
2025-04-26,MARINA,Personal,Sale,-44.00
2025-04-26,Netflix.com,Bills & Utilities,Sale,-7.99
2025-04-24,Spotify USA,Bills & Utilities,Sale,-19.99
2025-04-22,GITHUB INC.,Professional Services,Sale,-14.00
2025-04-22,GITHUB,Professional Services,Sale,-5.00
2025-04-19,MARINA,Personal,Sale,-28.00
2025-04-20,FLICKR PRO,Personal,Sale,-10.44
2025-04-17,WEB*BLUEHOST.COM,Bills & Utilities,Sale,-19.99
2025-04-17,GOOGLE *FI,Bills & Utilities,Sale,-161.47
2025-04-16,GOOGLE *Snapwood Apps,Professional Services,Sale,-3.99
2025-04-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-04-15,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-04-14,SF CHRONICLE,Bills & Utilities,Sale,-13.96
2025-04-12,MARINA,Personal,Sale,-40.00
2025-04-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-04-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
2025-04-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-04-06,MARINA,Personal,Sale,-36.00
2025-04-05,NYTIMES*,Bills & Utilities,Sale,-28.00
2025-04-04,AUTOMATIC PAYMENT - THANK,,Payment,2915.27
2025-04-02,GOOGLE *Google Store,Shopping,Sale,-4.00
2025-04-03,GOOGLE *Google Store,Shopping,Return,3.93
2025-04-03,PUBLIC STORAGE 08482,Home,Sale,-553.00
2025-04-03,PUBLIC STORAGE 08482,Home,Sale,-1051.00
2025-04-01,CALIFORNIA WINE,Entertainment,Sale,-278.75
2025-04-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2025-04-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-03-29,MARINA,Personal,Sale,-36.00
2025-03-31,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00
2025-03-31,BLUE SHIELD,Bills & Utilities,Sale,-293.00
2025-03-26,Netflix.com,Bills & Utilities,Sale,-7.99
2025-03-23,MARINA,Personal,Sale,-36.00
2025-03-24,Spotify USA,Bills & Utilities,Sale,-19.99
2025-03-22,GITHUB,Professional Services,Sale,-5.00
2025-03-22,GITHUB INC.,Professional Services,Sale,-14.00
2025-03-21,MIDJOURNEY INC.,Shopping,Sale,-96.00
2025-03-20,FLICKR PRO,Personal,Sale,-10.44
2025-03-20,CNP* WIRED - DIGITAL S,Professional Services,Sale,-30.00
2025-03-16,MARINA,Personal,Sale,-36.00
2025-03-17,GOOGLE *FI,Bills & Utilities,Sale,-147.44
2025-03-17,SF CHRONICLE,Bills & Utilities,Sale,-13.96
2025-03-17,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-03-16,GOOGLE *SkyFolio OneDr,Entertainment,Sale,-3.99
2025-03-16,WEB*BLUEHOST.COM,Bills & Utilities,Sale,-263.88
2025-03-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-03-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-03-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
2025-03-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-03-09,MARINA,Personal,Sale,-36.00
2025-03-08,ONLINE PASSPORT FEES,Bills & Utilities,Sale,-160.00
2025-03-08,NYTIMES*,Bills & Utilities,Sale,-28.00
2025-03-07,PURCHASE INTEREST,Fees & Adjustments,Fee,-69.90
2025-03-04,AUTOMATIC PAYMENT - THANK,,Payment,5207.19
2025-03-04,MICROSOFT*MICROSOFT 365 F,Shopping,Sale,-129.99
2025-03-02,GOOGLE *Google Store,Shopping,Sale,-4.00
2025-03-03,PUBLIC STORAGE 08482,Home,Sale,-553.00
2025-03-03,PUBLIC STORAGE 08482,Home,Sale,-1051.00
2025-03-01,MARINA,Personal,Sale,-32.00
2025-03-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-03-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2025-02-28,BLUE SHIELD,Bills & Utilities,Sale,-293.00
2025-02-28,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00
2025-02-26,Netflix.com,Bills & Utilities,Sale,-7.99
2025-02-24,Spotify USA,Bills & Utilities,Sale,-19.99
2025-02-22,MARINA,Personal,Sale,-36.00
2025-02-22,GITHUB INC.,Professional Services,Sale,-14.00
2025-02-22,GITHUB,Professional Services,Sale,-5.00
2025-02-20,FLICKR PRO,Personal,Sale,-10.44
2025-02-16,MARINA,Personal,Sale,-28.00
2025-02-17,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-02-17,SF CHRONICLE,Bills & Utilities,Sale,-7.96
2025-02-17,GOOGLE *FI,Bills & Utilities,Sale,-147.44
2025-02-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-02-13,GOOGLE *OtterAI,Professional Services,Sale,-99.99
2025-02-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-02-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
2025-02-10,MARINA,Personal,Sale,-36.00
2025-02-10,PERRY'S ON UNION ST,Food & Drink,Sale,-75.00
2025-02-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-02-08,NYTIMES*,Bills & Utilities,Sale,-28.00
2025-02-07,PURCHASE INTEREST,Fees & Adjustments,Fee,-54.33
2025-02-03,PERRY'S ON UNION ST,Food & Drink,Sale,-75.00
2025-02-04,AUTOMATIC PAYMENT - THANK,,Payment,1000.00
2025-02-03,PUBLIC STORAGE 08482,Home,Sale,-1051.00
2025-02-03,PUBLIC STORAGE 08482,Home,Sale,-553.00
2025-02-02,GOOGLE *Google Store,Shopping,Sale,-4.00
2025-02-01,MARINA,Personal,Sale,-36.00
2025-01-31,BLUE SHIELD,Bills & Utilities,Sale,-293.00
2025-01-31,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-50.00
2025-02-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2025-02-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-01-26,MARINA,Personal,Sale,-36.00
2025-01-26,Netflix.com,Bills & Utilities,Sale,-6.99
2025-01-23,PERRY'S ON UNION ST,Food & Drink,Sale,-150.00
2025-01-24,Spotify USA,Bills & Utilities,Sale,-19.99
2025-01-22,GITHUB,Professional Services,Sale,-5.00
2025-01-22,GITHUB INC.,Professional Services,Sale,-14.00
2025-01-20,SF CHRONICLE,Bills & Utilities,Sale,-7.96
2025-01-20,FLICKR PRO,Personal,Sale,-10.44
2025-01-18,MARINA,Personal,Sale,-36.00
2025-01-17,GOOGLE *FI,Bills & Utilities,Sale,-147.48
2025-01-16,OPENAI *CHATGPT,Shopping,Sale,-20.00
2025-01-14,CALIFORNIA WINE,Entertainment,Sale,-289.29
2025-01-15,ST. PAULS,Gifts & Donations,Sale,-20.00
2025-01-13,SYR UNIV ONLINE GIFTS,Education,Sale,-25.00
2025-01-10,PERRY'S ON UNION ST,Food & Drink,Sale,-75.00
2025-01-11,MARINA,Personal,Sale,-32.00
2025-01-12,BUCKINGHAM BROWNE &,Gifts & Donations,Sale,-25.00
2025-01-11,NYTIMES*,Bills & Utilities,Sale,-28.00
2025-01-09,SILVERSCRIPT INS CO,Health & Wellness,Sale,-56.50
2025-01-08,Microsoft*Microsoft Copil,Shopping,Sale,-20.00
2025-01-04,MARINA,Personal,Sale,-36.00
2025-01-03,AUTOMATIC PAYMENT - THANK,,Payment,3276.83
2025-01-02,GOOGLE *Google Store,Shopping,Sale,-4.00
2025-01-03,PUBLIC STORAGE 08482,Home,Sale,-1051.00
2025-01-03,PUBLIC STORAGE 08482,Home,Sale,-553.00
2025-01-01,PAYPAL *WIKIPEDIA,Gifts & Donations,Sale,-5.00
2025-01-01,SHOEBOXED.COM,Shopping,Sale,-69.00
2024-12-31,PAYPAL *INTERNETARC,Gifts & Donations,Sale,-10.00
2024-12-31,BLUE SHIELD,Bills & Utilities,Sale,-293.00
