Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DSLIP,11/25/2025,"REMOTE ONLINE DEPOSIT #          1",2941.00,CHECK_DEPOSIT,7140.59,1,
DEBIT,11/24/2025,"SAFEWAY #1711 SAN FRANCISCO CA               11/24 Purchase $14.33 Cash Back $200.00",-214.33,DEBIT_CARD,4199.59,,
DEBIT,11/24/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-4843.11,ACH_DEBIT,4413.92,,
DEBIT,11/21/2025,"Online Payment 26696495541 To Lawrence Fine Art Services 11/21",-320.40,BILLPAY,9257.03,,
CREDIT,11/20/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,9577.43,,
DEBIT,11/13/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,577.43,,
DEBIT,11/12/2025,"Zelle payment to Alvaro Lazaro JPM99bueaf0l",-350.88,CHASE_TO_PARTNERFI,1027.43,,
DEBIT,11/07/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-11.00,ACH_DEBIT,1378.31,,
DEBIT,11/05/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-3023.13,ACH_DEBIT,1389.31,,
DEBIT,11/04/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-4835.00,ACH_DEBIT,4412.44,,
DEBIT,11/03/2025,"Zelle payment to Dennis Wheatley JPM99bteyai6",-250.00,CHASE_TO_PARTNERFI,9247.44,,
DEBIT,11/03/2025,"Zelle payment to Dennis Wheatley JPM99bte7tpb",-1.00,CHASE_TO_PARTNERFI,9497.44,,
DEBIT,11/03/2025,"LLBEANMASTERCARD AUTO PYMT  721818615280560 WEB ID: CITIAUTFDR",-234.89,MISC_DEBIT,9498.44,,
DEBIT,11/03/2025,"Zelle payment to Michael Garcia JPM99bt1f4xa",-100.00,CHASE_TO_PARTNERFI,9733.33,,
CREDIT,11/03/2025,"Zelle payment from SACRAMENTO SEMINAR INC WFCT0ZG5RM8Z",1.00,PARTNERFI_TO_CHASE,9833.33,,
CREDIT,11/03/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736039",1281.40,ACH_CREDIT,9832.33,,
DSLIP,11/03/2025,"REMOTE ONLINE DEPOSIT #          1",90.00,CHECK_DEPOSIT,8550.93,1,
DEBIT,10/24/2025,"Online Payment 26331803310 To Lawrence Fine Art Services 10/24",-320.40,BILLPAY,8460.93,,
DEBIT,10/23/2025,"FRANCHISE TAX BO PAYMENTS   122997636    PM WEB ID: 1282532045",-2941.00,ACH_DEBIT,8781.33,,
DEBIT,10/23/2025,"IRS              USATAXPYMT 240569631495871 WEB ID: 3387702000",-7798.00,ACH_DEBIT,11722.33,,
DEBIT,10/22/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-4120.10,ACH_DEBIT,19520.33,,
DEBIT,10/21/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,23640.43,,
CREDIT,10/21/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,24090.43,,
DEBIT,10/08/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-4899.00,ACH_DEBIT,15090.43,,
DEBIT,10/07/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-11.00,ACH_DEBIT,19989.43,,
DEBIT,10/06/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-3074.26,ACH_DEBIT,20000.43,,
CREDIT,10/03/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736026",1281.40,ACH_CREDIT,23074.69,,
DEBIT,10/02/2025,"THE BRAZEN HEAD REST SAN FRANCISCO CA        09/30",-70.47,DEBIT_CARD,21793.29,,
DEBIT,10/01/2025,"Zelle payment to Michael Garcia JPM99bp7iux0",-100.00,CHASE_TO_PARTNERFI,21863.76,,
DEBIT,09/30/2025,"ALEKSANDER DZIER IAT PAYPAL 1045186667339   WEB ID: 770510487C",-52.50,ACH_DEBIT,21963.76,,
CREDIT,09/30/2025,"CT-EASTERN       TRANSFERS                  PPD ID: 4061271230",533.00,ACH_CREDIT,22016.26,,
CREDIT,09/30/2025,"CT-EASTERN       TRANSFERS                  PPD ID: 4061271230",14674.34,ACH_CREDIT,21483.26,,
DEBIT,09/29/2025,"IMPERATIVE SOFTW IAT PAYPAL 1045139400837   WEB ID: 770510487C",-25.00,ACH_DEBIT,6808.92,,
DEBIT,09/24/2025,"Zelle payment to Eloise Armour JPM99boe29ej",-1000.88,CHASE_TO_PARTNERFI,6833.92,,
DEBIT,09/24/2025,"Online Payment 25937085682 To Lawrence Fine Art Services 09/24",-320.40,BILLPAY,7834.80,,
DEBIT,09/22/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2753.62,ACH_DEBIT,8155.20,,
CREDIT,09/22/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,10908.82,,
DEBIT,09/15/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,1908.82,,
DEBIT,09/08/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-10.44,ACH_DEBIT,2358.82,,
DEBIT,09/08/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-4596.00,ACH_DEBIT,2369.26,,
DEBIT,09/05/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-4179.38,ACH_DEBIT,6965.26,,
CREDIT,09/05/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,11144.64,,
DEBIT,09/03/2025,"LLBEANMASTERCARD AUTO PYMT  721765911250728 WEB ID: CITIAUTFDR",-24.93,MISC_DEBIT,2144.64,,
CREDIT,09/03/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736042",1281.40,ACH_CREDIT,2169.57,,
DEBIT,09/02/2025,"Zelle payment to Michael Garcia JPM99bljf4n1",-100.00,CHASE_TO_PARTNERFI,888.17,,
DEBIT,08/22/2025,"Online Payment 25601512206 To Lawrence Fine Art Services 08/22",-320.40,BILLPAY,988.17,,
DEBIT,08/22/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1820.70,ACH_DEBIT,1308.57,,
DEBIT,08/15/2025,"ATM WITHDRAWAL                       003013  08/152166 CHES",-300.00,ATM,3129.27,,
DSLIP,08/15/2025,"REMOTE ONLINE DEPOSIT #          1",150.00,CHECK_DEPOSIT,3429.27,1,
DEBIT,08/14/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,3279.27,,
DEBIT,08/07/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-10.44,ACH_DEBIT,3729.27,,
DEBIT,08/05/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2916.67,ACH_DEBIT,3739.71,,
DEBIT,08/04/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-4921.00,ACH_DEBIT,6656.38,,
DEBIT,08/01/2025,"Zelle payment to Michael Garcia JPM99bhqqliy",-100.00,CHASE_TO_PARTNERFI,11577.38,,
CREDIT,08/01/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736026",1281.40,ACH_CREDIT,11677.38,,
DEBIT,07/25/2025,"Online Payment 25236572310 To Lawrence Fine Art Services 07/25",-320.40,BILLPAY,10395.98,,
DEBIT,07/22/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2483.50,ACH_DEBIT,10716.38,,
DEBIT,07/21/2025,"ADVS ED SERV WEB STUDNTLOAN 6R4H41E5GD1     WEB ID: 9102001102",-15167.56,ACH_DEBIT,13199.88,,
CREDIT,07/17/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,28367.44,,
DEBIT,07/16/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,19367.44,,
DEBIT,07/07/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-10.44,ACH_DEBIT,19817.44,,
DEBIT,07/07/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2616.68,ACH_DEBIT,19827.88,,
CREDIT,07/07/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",5000.00,ACH_CREDIT,22444.56,,
CREDIT,07/03/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736026",1281.40,ACH_CREDIT,17444.56,,
DEBIT,07/02/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-4784.00,ACH_DEBIT,16163.16,,
CREDIT,07/02/2025,"CT-EASTERN       TRANSFERS                  PPD ID: 4061271230",14674.34,ACH_CREDIT,20947.16,,
DEBIT,07/01/2025,"Zelle payment to Michael Garcia JPM99be36v41",-100.00,CHASE_TO_PARTNERFI,6272.82,,
CREDIT,06/30/2025,"CT-EASTERN       TRANSFERS                  PPD ID: 4061271230",362.09,ACH_CREDIT,6372.82,,
DEBIT,06/24/2025,"Online Payment 24850899484 To Lawrence Fine Art Services 06/24",-320.40,BILLPAY,6010.73,,
DEBIT,06/23/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2408.43,ACH_DEBIT,6331.13,,
DEBIT,06/20/2025,"Zelle payment to Mia Harlock JPM99bcre580",-300.00,CHASE_TO_PARTNERFI,8739.56,,
CREDIT,06/17/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,9039.56,,
DEBIT,06/16/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,39.56,,
CREDIT,06/16/2025,"ATM CASH DEPOSIT 06/15 2166 CHESTNUT ST SAN FRANCISCO CA",370.00,ATM,489.56,,
DEBIT,06/09/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-10.44,ACH_DEBIT,119.56,,
DEBIT,06/05/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2632.33,ACH_DEBIT,130.00,,
DSLIP,06/05/2025,"DEPOSIT  ID NUMBER 315619",500.00,DEPOSIT,2762.33,,
DEBIT,06/03/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-4622.00,ACH_DEBIT,2262.33,,
CREDIT,06/03/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736039",1281.40,ACH_CREDIT,6884.33,,
DEBIT,06/02/2025,"Zelle payment to Michael Garcia JPM99bajj1dx",-100.00,CHASE_TO_PARTNERFI,5602.93,,
DEBIT,05/22/2025,"Online Payment 24518277614 To Lawrence Fine Art Services 05/22",-320.40,BILLPAY,5702.93,,
DEBIT,05/22/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-6600.63,ACH_DEBIT,6023.33,,
DEBIT,05/21/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,12623.96,,
DEBIT,05/19/2025,"Zelle payment to Mia Harlock JPM99b8w5ems",-200.00,CHASE_TO_PARTNERFI,13073.96,,
CREDIT,05/19/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,13273.96,,
DEBIT,05/07/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-10.44,ACH_DEBIT,4273.96,,
DEBIT,05/05/2025,"PAYPAL           INST XFER  ARMOUR.CB       WEB ID: PAYPALSI77",-300.00,ACH_DEBIT,4284.40,,
DEBIT,05/05/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-3422.94,ACH_DEBIT,4584.40,,
DEBIT,05/02/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-4492.00,ACH_DEBIT,8007.34,,
CREDIT,05/02/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736026",1281.40,ACH_CREDIT,12499.34,,
DEBIT,05/01/2025,"Zelle payment to Michael Garcia JPM99b6r2pd7",-100.00,CHASE_TO_PARTNERFI,11217.94,,
DEBIT,04/24/2025,"Online Payment 24170097496 To Lawrence Fine Art Services 04/24",-320.40,BILLPAY,11317.94,,
DEBIT,04/22/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2497.93,ACH_DEBIT,11638.34,,
DEBIT,04/22/2025,"Zelle payment to Alix Armour JPM99b5pop8b",-908.88,CHASE_TO_PARTNERFI,14136.27,,
DEBIT,04/21/2025,"ADVS ED SERV WEB STUDNTLOAN 6QT2MF20I61     WEB ID: 9102001102",-2667.35,ACH_DEBIT,15045.15,,
DEBIT,04/18/2025,"Zelle payment to Mia Harlock JPM99b5bqf1b",-275.00,CHASE_TO_PARTNERFI,17712.50,,
CREDIT,04/17/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,17987.50,,
DEBIT,04/11/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,8987.50,,
DEBIT,04/07/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-10.44,ACH_DEBIT,9437.50,,
DEBIT,04/07/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2915.27,ACH_DEBIT,9447.94,,
CREDIT,04/03/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736039",1281.40,ACH_CREDIT,12363.21,,
DEBIT,04/02/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-5207.00,ACH_DEBIT,11081.81,,
CREDIT,03/31/2025,"CT-EASTERN       TRANSFERS                  PPD ID: 4061271230",440.84,ACH_CREDIT,16288.81,,
DEBIT,03/25/2025,"Online Payment 23796886259 To Lawrence Fine Art Services 03/25",-320.40,BILLPAY,15847.97,,
DEBIT,03/24/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-5846.00,ACH_DEBIT,16168.37,,
CREDIT,03/18/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,22014.37,,
DEBIT,03/17/2025,"Zelle payment to Mia Harlock JPM99b1ifett",-250.00,CHASE_TO_PARTNERFI,13014.37,,
DEBIT,03/13/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,13264.37,,
DEBIT,03/11/2025,"Online Payment 24013384735 To Lawrence Fine Art Services 03/11",-14.45,BILLPAY,13714.37,,
DEBIT,03/07/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-10.44,ACH_DEBIT,13728.82,,
DEBIT,03/05/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-5207.19,ACH_DEBIT,13739.26,,
DEBIT,03/04/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-4393.00,ACH_DEBIT,18946.45,,
DEBIT,03/03/2025,"Zelle payment to Michael Garcia JPM99aztcmtw",-100.00,CHASE_TO_PARTNERFI,23339.45,,
CREDIT,03/03/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736026",1281.40,ACH_CREDIT,23439.45,,
CREDIT,03/03/2025,"CT-EASTERN       TRANSFERS                  PPD ID: 4061271230",15030.48,ACH_CREDIT,22158.05,,
DEBIT,02/24/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-2157.35,ACH_DEBIT,7127.57,,
DEBIT,02/21/2025,"Online Payment 23484266448 To Lawrence Fine Art Services 02/21",-320.40,BILLPAY,9284.92,,
CREDIT,02/19/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,9605.32,,
DEBIT,02/11/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,605.32,,
DEBIT,02/10/2025,"Zelle payment to Mia Harlock JPM99axnrg5k",-325.00,CHASE_TO_PARTNERFI,1055.32,,
CREDIT,02/10/2025,"Transfer from CHK XXXXX0190",111.82,ACCT_XFER,1380.32,,
DEBIT,02/07/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-10.44,ACH_DEBIT,1268.50,,
DEBIT,02/05/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-1000.00,ACH_DEBIT,1278.94,,
DEBIT,02/04/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-4444.00,ACH_DEBIT,2278.94,,
DEBIT,02/03/2025,"Zelle payment to Michael Garcia JPM99awok0id",-100.00,CHASE_TO_PARTNERFI,6722.94,,
CREDIT,02/03/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736039",1281.40,ACH_CREDIT,6822.94,,
DEBIT,01/27/2025,"VENMO            PAYMENT    1039835140538   WEB ID: 3264681992",-75.00,MISC_DEBIT,5541.54,,
DEBIT,01/24/2025,"Online Payment 23145036541 To Lawrence Fine Art Services 01/24",-320.40,BILLPAY,5616.54,,
DEBIT,01/22/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-3703.04,ACH_DEBIT,5936.94,,
CREDIT,01/17/2025,"PERSHING         BROKERAGE                  PPD ID: 1132741729",9000.00,ACH_CREDIT,9639.98,,
DEBIT,01/15/2025,"FRANCHISE TAX BO PAYMENTS   113856804    PM WEB ID: 1282532045",-4148.00,ACH_DEBIT,639.98,,
DEBIT,01/15/2025,"IRS              USATAXPYMT 240541512487683 WEB ID: 3387702000",-7450.00,ACH_DEBIT,4787.98,,
DEBIT,01/14/2025,"Zelle payment to Nienke Hohmann JPM99auwkqqt",-85.00,CHASE_TO_PARTNERFI,12237.98,,
DEBIT,01/13/2025,"OPENSTREETMAP FO IAT PAYPAL 1039577809012   WEB ID: 770510487C",-19.27,ACH_DEBIT,12322.98,,
DEBIT,01/13/2025,"SF LADIES PROTEC DEBITS                     PPD ID: 1941156611",-450.00,ACH_DEBIT,12342.25,,
DEBIT,01/07/2025,"PAYPAL           INST XFER  FLICKR          WEB ID: PAYPALSI77",-10.44,ACH_DEBIT,12792.25,,
DEBIT,01/07/2025,"Zelle payment to Mia Harlock JPM99auauslz",-175.00,CHASE_TO_PARTNERFI,12802.69,,
DEBIT,01/06/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-3276.83,ACH_DEBIT,12977.69,,
DEBIT,01/03/2025,"Heritage         SIGONFILE                  PPD ID: 9001765670",-4400.00,ACH_DEBIT,16254.52,,
CREDIT,01/03/2025,"SSA  TREAS 310   XXSOC SEC                  PPD ID: 9031736026",1281.40,ACH_CREDIT,20654.52,,
DEBIT,01/02/2025,"Zelle payment to Michael Garcia JPM99atxoosn",-100.00,CHASE_TO_PARTNERFI,19373.12,,
